globalBinMapping_truthReco.txt
Dataset: SIM
rKey: r02 (R=0.2)

NOTE: global bin indices are the TH2 internal indices returned by TH2::GetBin/FindBin.
      We list ALL bins including ROOT underflow/overflow (bin=0 and bin=nbins+1).

[TRUTH] gTruth = hTruth->GetBin(ptBin, xJBin)
Columns: gTruth  ptBin  xJBin  pT_range  xJ_range
  27   1   2  8-10 GeV  0.20-0.24
  40   1   3  8-10 GeV  0.24-0.29
  53   1   4  8-10 GeV  0.29-0.35
  66   1   5  8-10 GeV  0.35-0.41
  79   1   6  8-10 GeV  0.41-0.50
  92   1   7  8-10 GeV  0.50-0.60
 105   1   8  8-10 GeV  0.60-0.72
 118   1   9  8-10 GeV  0.72-0.86
 131   1  10  8-10 GeV  0.86-1.03
 144   1  11  8-10 GeV  1.03-1.24
 157   1  12  8-10 GeV  1.24-1.49
 170   1  13  8-10 GeV  1.49-1.78
 183   1  14  8-10 GeV  1.78-2.14
 196   1  15  8-10 GeV  2.14-3.00
 209   1  16  8-10 GeV  OVERFLOW
   2   2   0  10-12 GeV  UNDERFLOW
  15   2   1  10-12 GeV  0.00-0.20
  28   2   2  10-12 GeV  0.20-0.24
  41   2   3  10-12 GeV  0.24-0.29
  54   2   4  10-12 GeV  0.29-0.35
  67   2   5  10-12 GeV  0.35-0.41
  80   2   6  10-12 GeV  0.41-0.50
  93   2   7  10-12 GeV  0.50-0.60
 106   2   8  10-12 GeV  0.60-0.72
 119   2   9  10-12 GeV  0.72-0.86
 132   2  10  10-12 GeV  0.86-1.03
 145   2  11  10-12 GeV  1.03-1.24
 158   2  12  10-12 GeV  1.24-1.49
 171   2  13  10-12 GeV  1.49-1.78
 184   2  14  10-12 GeV  1.78-2.14
 197   2  15  10-12 GeV  2.14-3.00
 210   2  16  10-12 GeV  OVERFLOW
   3   3   0  12-14 GeV  UNDERFLOW
  16   3   1  12-14 GeV  0.00-0.20
  29   3   2  12-14 GeV  0.20-0.24
  42   3   3  12-14 GeV  0.24-0.29
  55   3   4  12-14 GeV  0.29-0.35
  68   3   5  12-14 GeV  0.35-0.41
  81   3   6  12-14 GeV  0.41-0.50
  94   3   7  12-14 GeV  0.50-0.60
 107   3   8  12-14 GeV  0.60-0.72
 120   3   9  12-14 GeV  0.72-0.86
 133   3  10  12-14 GeV  0.86-1.03
 146   3  11  12-14 GeV  1.03-1.24
 159   3  12  12-14 GeV  1.24-1.49
 172   3  13  12-14 GeV  1.49-1.78
 185   3  14  12-14 GeV  1.78-2.14
 198   3  15  12-14 GeV  2.14-3.00
 211   3  16  12-14 GeV  OVERFLOW
   4   4   0  14-16 GeV  UNDERFLOW
  17   4   1  14-16 GeV  0.00-0.20
  30   4   2  14-16 GeV  0.20-0.24
  43   4   3  14-16 GeV  0.24-0.29
  56   4   4  14-16 GeV  0.29-0.35
  69   4   5  14-16 GeV  0.35-0.41
  82   4   6  14-16 GeV  0.41-0.50
  95   4   7  14-16 GeV  0.50-0.60
 108   4   8  14-16 GeV  0.60-0.72
 121   4   9  14-16 GeV  0.72-0.86
 134   4  10  14-16 GeV  0.86-1.03
 147   4  11  14-16 GeV  1.03-1.24
 160   4  12  14-16 GeV  1.24-1.49
 173   4  13  14-16 GeV  1.49-1.78
 186   4  14  14-16 GeV  1.78-2.14
 199   4  15  14-16 GeV  2.14-3.00
 212   4  16  14-16 GeV  OVERFLOW
   5   5   0  16-18 GeV  UNDERFLOW
  18   5   1  16-18 GeV  0.00-0.20
  31   5   2  16-18 GeV  0.20-0.24
  44   5   3  16-18 GeV  0.24-0.29
  57   5   4  16-18 GeV  0.29-0.35
  70   5   5  16-18 GeV  0.35-0.41
  83   5   6  16-18 GeV  0.41-0.50
  96   5   7  16-18 GeV  0.50-0.60
 109   5   8  16-18 GeV  0.60-0.72
 122   5   9  16-18 GeV  0.72-0.86
 135   5  10  16-18 GeV  0.86-1.03
 148   5  11  16-18 GeV  1.03-1.24
 161   5  12  16-18 GeV  1.24-1.49
 174   5  13  16-18 GeV  1.49-1.78
 187   5  14  16-18 GeV  1.78-2.14
 200   5  15  16-18 GeV  2.14-3.00
 213   5  16  16-18 GeV  OVERFLOW
   6   6   0  18-20 GeV  UNDERFLOW
  19   6   1  18-20 GeV  0.00-0.20
  32   6   2  18-20 GeV  0.20-0.24
  45   6   3  18-20 GeV  0.24-0.29
  58   6   4  18-20 GeV  0.29-0.35
  71   6   5  18-20 GeV  0.35-0.41
  84   6   6  18-20 GeV  0.41-0.50
  97   6   7  18-20 GeV  0.50-0.60
 110   6   8  18-20 GeV  0.60-0.72
 123   6   9  18-20 GeV  0.72-0.86
 136   6  10  18-20 GeV  0.86-1.03
 149   6  11  18-20 GeV  1.03-1.24
 162   6  12  18-20 GeV  1.24-1.49
 175   6  13  18-20 GeV  1.49-1.78
 188   6  14  18-20 GeV  1.78-2.14
 201   6  15  18-20 GeV  2.14-3.00
 214   6  16  18-20 GeV  OVERFLOW
   7   7   0  20-22 GeV  UNDERFLOW
  20   7   1  20-22 GeV  0.00-0.20
  33   7   2  20-22 GeV  0.20-0.24
  46   7   3  20-22 GeV  0.24-0.29
  59   7   4  20-22 GeV  0.29-0.35
  72   7   5  20-22 GeV  0.35-0.41
  85   7   6  20-22 GeV  0.41-0.50
  98   7   7  20-22 GeV  0.50-0.60
 111   7   8  20-22 GeV  0.60-0.72
 124   7   9  20-22 GeV  0.72-0.86
 137   7  10  20-22 GeV  0.86-1.03
 150   7  11  20-22 GeV  1.03-1.24
 163   7  12  20-22 GeV  1.24-1.49
 176   7  13  20-22 GeV  1.49-1.78
 189   7  14  20-22 GeV  1.78-2.14
 202   7  15  20-22 GeV  2.14-3.00
 215   7  16  20-22 GeV  OVERFLOW
   8   8   0  22-24 GeV  UNDERFLOW
  21   8   1  22-24 GeV  0.00-0.20
  34   8   2  22-24 GeV  0.20-0.24
  47   8   3  22-24 GeV  0.24-0.29
  60   8   4  22-24 GeV  0.29-0.35
  73   8   5  22-24 GeV  0.35-0.41
  86   8   6  22-24 GeV  0.41-0.50
  99   8   7  22-24 GeV  0.50-0.60
 112   8   8  22-24 GeV  0.60-0.72
 125   8   9  22-24 GeV  0.72-0.86
 138   8  10  22-24 GeV  0.86-1.03
 151   8  11  22-24 GeV  1.03-1.24
 164   8  12  22-24 GeV  1.24-1.49
 177   8  13  22-24 GeV  1.49-1.78
 190   8  14  22-24 GeV  1.78-2.14
 203   8  15  22-24 GeV  2.14-3.00
 216   8  16  22-24 GeV  OVERFLOW
   9   9   0  24-26 GeV  UNDERFLOW
  22   9   1  24-26 GeV  0.00-0.20
  35   9   2  24-26 GeV  0.20-0.24
  48   9   3  24-26 GeV  0.24-0.29
  61   9   4  24-26 GeV  0.29-0.35
  74   9   5  24-26 GeV  0.35-0.41
  87   9   6  24-26 GeV  0.41-0.50
 100   9   7  24-26 GeV  0.50-0.60
 113   9   8  24-26 GeV  0.60-0.72
 126   9   9  24-26 GeV  0.72-0.86
 139   9  10  24-26 GeV  0.86-1.03
 152   9  11  24-26 GeV  1.03-1.24
 165   9  12  24-26 GeV  1.24-1.49
 178   9  13  24-26 GeV  1.49-1.78
 191   9  14  24-26 GeV  1.78-2.14
 204   9  15  24-26 GeV  2.14-3.00
 217   9  16  24-26 GeV  OVERFLOW
  10  10   0  26-35 GeV  UNDERFLOW
  23  10   1  26-35 GeV  0.00-0.20
  36  10   2  26-35 GeV  0.20-0.24
  49  10   3  26-35 GeV  0.24-0.29
  62  10   4  26-35 GeV  0.29-0.35
  75  10   5  26-35 GeV  0.35-0.41
  88  10   6  26-35 GeV  0.41-0.50
 101  10   7  26-35 GeV  0.50-0.60
 114  10   8  26-35 GeV  0.60-0.72
 127  10   9  26-35 GeV  0.72-0.86
 140  10  10  26-35 GeV  0.86-1.03
 153  10  11  26-35 GeV  1.03-1.24
 166  10  12  26-35 GeV  1.24-1.49
 179  10  13  26-35 GeV  1.49-1.78
 192  10  14  26-35 GeV  1.78-2.14
 205  10  15  26-35 GeV  2.14-3.00
 218  10  16  26-35 GeV  OVERFLOW
  11  11   0  35-40 GeV  UNDERFLOW
  24  11   1  35-40 GeV  0.00-0.20
  37  11   2  35-40 GeV  0.20-0.24
  50  11   3  35-40 GeV  0.24-0.29
  63  11   4  35-40 GeV  0.29-0.35
  76  11   5  35-40 GeV  0.35-0.41
  89  11   6  35-40 GeV  0.41-0.50
 102  11   7  35-40 GeV  0.50-0.60
 115  11   8  35-40 GeV  0.60-0.72
 128  11   9  35-40 GeV  0.72-0.86
 141  11  10  35-40 GeV  0.86-1.03
 154  11  11  35-40 GeV  1.03-1.24
 167  11  12  35-40 GeV  1.24-1.49
 180  11  13  35-40 GeV  1.49-1.78
 193  11  14  35-40 GeV  1.78-2.14
 206  11  15  35-40 GeV  2.14-3.00
 219  11  16  35-40 GeV  OVERFLOW
